participant_number,version,fun_studying_languages,boring_spanish_class,interesting_spanish_cultures,interesting_studying_languages,difficult_classroom_learning,valuable,no_accent,important_spanish,beautiful,codeswitch_rude,smarter_two_languages,started_younger,like_becoming_bilingual,admire_multilinguals,like_langauges,interest_languages,like_spanish,like_hearing_spanish,communicating_spanish_speakers,excited_spanish_class,outside_engagement,spanish_favorite_class,worldview,acceptable_monolingualism,learn_not_abroad,multilingualism_asset,schools_teach,connect_with_people,future_career,effort,can_become_bilingual,family_languages,family_languages,english_first_language,eng_first_language_and_other,eng_not_first_language,age,gender,years_studying_spanish,current_class,university,other_language_study,other_languages
1,1,3,5,3,4,3,4,5,4,4,5,5,5,5,5,4,5,4,3,2,3,2,3,1,2,3,2,1,1,1,1,1,1,DA,1.0,,,20,2,3,1,NIU,2,
2,1,2,5,2,2,4,3,5,3,2,5,3,4,3,3,2,2,3,2,2,2,2,2,1,3,1,1,1,3,3,1,1,1,SP,1.0,,,19,2,0,1,NIU,1,GR
3,1,3,5,3,3,4,3,4,3,2,5,2,3,3,4,3,3,3,3,2,3,3,3,3,2,3,1,1,1,1,1,1,1,SP,1.0,,,22,1,3,1,NIU,2,
4,1,4,5,5,4,4,5,5,3,3,5,5,3,5,5,5,5,4,4,5,4,4,3,1,3,3,1,3,1,3,1,1,1,KR,2.0,,KR,23,1,0,1,UW,1,"JP, CH"
5,1,4,5,3,5,5,4,4,4,2,5,4,5,5,4,4,5,4,2,4,4,2,4,1,2,1,1,1,1,2,1,1,1,KR,2.0,,KR,37,2,0,1,UW,1,Japanese
6,1,1,5,3,4,5,5,4,5,5,5,5,5,5,4,4,4,4,3,4,5,3,3,1,1,1,1,1,1,1,1,1,2,,1.0,,,27,1,2,1,NIU,1,FR
7,1,3,5,4,4,5,4,4,4,4,5,3,4,4,4,4,4,4,4,4,3,4,3,3,2,3,1,1,1,1,1,1,2,,1.0,,,21,2,1,1,UW,1,FR
8,1,2,5,3,3,3,3,5,3,3,4,3,5,4,4,2,3,3,2,1,2,2,2,1,2,3,1,1,1,3,1,3,2,,1.0,,,21,1,1,1,NIU,2,
9,1,3,5,4,5,3,5,5,5,3,1,5,5,5,4,5,5,5,4,2,5,5,,2,2,1,1,1,1,1,1,1,2,,1.0,,,20,2,0,1,UW,2,
10,1,1,4,2,2,4,3,5,2,2,5,2,3,4,3,2,3,3,3,2,2,3,3,3,2,3,1,3,3,1,4,1,2,,1.0,,,21,2,2,1,UW,2,
11,1,3,4,3,3,4,5,4,4,4,5,4,4,4,4,3,4,3,4,4,3,4,3,4,2,4,1,1,1,1,1,1,2,,1.0,,,18,1,2,1,UW,2,
12,2,3,5,2,3,4,2,4,3,3,5,3,3,5,2,4,4,4,3,3,4,3,4,2,2,3,1,2,2,3,1,1,1,,1.5,TL,,21,2,1,1,UW,1,"FR, HN, TL"
13,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,5,1,4,1,1,1,1,1,1,1,1,PO,2.0,,PO,20,2,1,1,UW,1,EN
14,2,3,4,3,4,2,5,4,5,2,5,5,4,5,5,4,5,2,3,2,2,1,1,4,4,1,1,1,1,1,1,1,2,,1.0,,,19,1,3,1,NIU,1,ASL
15,2,3,5,5,4,4,5,3,5,2,5,5,5,5,5,3,4,4,5,4,4,3,5,1,1,1,1,1,1,1,1,3,2,,1.0,,,21,1,0,1,UW,1,FR
16,2,2,5,3,2,3,5,5,4,3,3,4,4,3,4,3,3,3,4,4,3,2,2,3,1,1,1,1,1,1,1,1,2,,1.0,,,33,1,1,1,NIU,2,
17,2,1,3,1,2,3,4,5,3,4,4,1,1,2,2,2,1,1,1,1,2,1,2,1,2,3,1,3,2,3,2,3,2,,1.0,,,19,1,1,1,NIU,2,
18,2,2,4,4,4,4,5,5,2,3,5,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,1,3,1,3,1,3,2,,1.0,,,19,1,4,1,NIU,2,
19,2,3,5,4,3,4,5,4,4,3,5,4,5,5,5,3,5,4,4,3,4,3,4,3,3,1,1,1,1,3,1,1,2,,1.0,,,25,2,1,1,OHS,2,
20,2,2,5,2,2,3,3,5,3,2,5,2,2,3,3,2,2,2,2,2,2,4,2,1,2,1,1,4,1,1,1,1,2,,1.0,,,19,2,0,1,UW,2,
21,2,2,5,4,2,3,4,4,3,3,4,3,4,2,4,2,3,2,2,2,3,2,2,3,2,3,1,3,1,1,1,2,2,,1.0,,,19,1,2,1,UW,2,
22,2,2,4,4,2,4,5,1,5,3,5,5,5,4,5,3,4,3,5,2,3,3,3,1,2,3,1,1,1,1,1,1,2,,1.0,,,19,1,5,1,UW,2,
23,2,2,5,4,4,3,5,2,4,5,5,5,5,5,5,3,4,5,4,3,3,3,2,1,2,1,1,1,1,1,1,3,2,,1.0,,,20,1,3,1,UW,2,
24,1,3,4,4,3,3,5,4,4,4,4,4,4,4,5,3,4,3,3,4,3,2,3,1,3,3,1,1,1,1,1,3,1,FR,1.0,,,18,1,5,2,UW,2,
25,1,4,4,4,5,4,5,5,5,4,5,4,3,5,5,4,5,5,4,4,3,3,5,1,2,1,1,3,1,1,1,1,1,"IN, SP",1.0,,,20,1,4,2,UW,2,
26,1,2,4,5,5,3,5,4,5,5,5,4,5,5,5,4,5,5,5,4,4,3,4,1,2,1,1,1,1,1,1,1,1,SP,1.0,,,19,1,4,2,UW,1,Latin
27,1,2,5,3,4,3,5,3,3,5,4,5,5,5,5,4,5,4,5,3,2,3,2,1,3,1,1,1,1,1,1,3,1,"SP, FR",1.0,,,18,1,3,2,UW,2,
28,1,2,4,4,2,4,5,5,3,5,4,5,3,5,5,3,4,5,4,5,3,3,4,1,4,4,1,1,1,1,1,1,1,SP,2.0,,SP,19,1,3,2,UW,2,
29,1,2,4,5,4,2,5,5,5,4,5,4,5,5,5,3,4,3,4,3,3,3,3,1,4,3,1,3,1,1,4,3,2,,1.0,,,21,2,4,2,UW,1,FR
30,1,4,4,4,4,4,5,4,4,4,5,2,5,5,5,5,5,4,4,5,3,3,3,3,2,1,1,1,1,1,1,3,2,,1.0,,,21,2,1,2,UW,1,FR
31,1,2,3,3,2,1,2,5,2,1,5,1,2,2,3,2,2,3,3,5,3,3,1,2,2,4,1,4,3,2,3,3,2,,1.0,,,21,2,2,2,UW,2,
32,1,3,4,5,4,2,4,4,4,4,5,3,5,5,5,4,5,5,4,5,3,4,2,3,3,1,3,1,1,1,1,1,2,,1.0,,,18,2,4,2,UW,2,
33,1,4,5,4,3,3,5,5,4,5,5,3,4,4,5,5,5,4,5,4,3,2,3,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,2,UW,2,
34,1,2,4,2,2,4,4,2,2,2,4,3,4,2,1,1,2,2,2,2,2,1,2,3,2,3,1,3,1,3,3,4,2,,1.0,,,19,2,2,2,UW,2,
35,1,3,4,5,4,3,5,5,4,4,4,5,5,5,5,3,5,4,4,4,2,3,2,1,2,1,1,1,1,1,1,1,2,,1.0,,,19,1,1,2,UW,2,
36,1,3,5,4,3,4,4,4,4,4,4,4,5,4,5,3,4,3,3,2,4,2,3,3,2,1,1,1,1,1,1,3,2,,1.0,,,19,1,3,2,UW,2,
37,1,4,4,4,5,3,4,5,5,4,5,4,5,5,5,4,5,4,4,4,2,2,3,1,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,4,2,UW,2,
38,1,3,4,3,3,4,5,4,4,4,5,4,5,5,4,4,5,4,3,4,3,2,4,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,2,UW,2,
39,1,2,4,3,2,3,5,5,4,3,5,3,5,4,4,3,3,3,3,4,3,3,2,3,2,1,1,1,1,1,3,1,2,,1.0,,,19,3,1,2,UW,2,
40,1,1,4,1,1,4,3,5,3,3,5,1,1,1,5,1,1,1,4,5,3,4,1,1,3,3,2,3,1,1,1,1,2,,2.0,,,18,2,0,2,UW,2,
41,2,3,4,5,4,2,5,4,4,3,5,4,5,5,5,4,5,4,4,4,3,3,3,3,2,1,1,3,1,1,1,1,1,"SP, PR, IT",1.0,,,18,2,5,2,UW,2,
42,2,2,5,3,3,3,5,2,3,5,5,5,4,5,5,4,5,4,5,5,4,3,4,1,3,1,1,1,1,1,1,1,1,PO,2.0,,PO,18,1,3,2,UW,1,PO
43,2,1,3,2,2,3,4,5,4,2,5,1,4,4,1,1,2,2,2,2,1,1,1,2,3,1,1,3,1,1,1,1,2,,1.0,,,18,2,4,2,UW,1,HB
44,2,2,3,2,2,3,4,2,4,2,5,1,4,4,2,2,2,2,2,2,2,1,1,2,3,1,1,3,1,1,3,1,2,,1.0,,,18,2,4,2,UW,1,HB
45,2,5,4,2,5,1,5,1,4,3,5,1,1,5,1,5,5,5,4,5,1,5,1,3,2,1,1,1,1,3,1,1,2,,1.0,,,18,1,0,2,UW,1,"FR, CH"
46,2,5,5,4,5,4,5,5,4,3,5,2,5,5,5,5,5,4,3,4,4,3,4,1,2,1,1,1,1,1,1,1,2,,1.0,,,30,2,3,2,UW,1,"LT, IT, JP"
47,2,3,3,3,3,2,4,5,4,4,4,5,3,5,5,4,4,4,4,4,2,1,3,3,2,1,1,4,1,1,3,2,2,,1.0,,,18,1,5,2,UW,2,
48,2,2,4,3,2,3,2,3,2,4,4,2,5,4,4,1,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,3,2,,1.0,,,20,1,1,2,UW,2,
49,2,2,4,4,3,2,5,5,5,4,5,5,5,5,5,4,5,4,4,4,2,3,3,1,2,1,1,1,1,1,1,1,2,,1.0,,,20,1,3,2,UW,2,
50,2,1,4,2,3,2,5,3,3,4,4,4,5,5,5,3,4,3,3,3,3,2,3,1,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,4,2,UW,2,
51,2,2,2,3,2,2,5,3,5,4,5,4,3,3,4,2,2,2,3,3,1,2,1,3,2,1,1,3,3,3,3,2,2,,1.0,,,18,2,4,2,UW,2,
52,2,2,4,5,4,1,5,4,4,5,4,5,5,5,5,3,3,3,2,2,1,1,1,1,3,1,1,1,1,1,1,1,2,,1.0,,,21,1,4,2,UW,2,
53,2,1,4,3,3,2,5,5,3,4,4,4,5,4,5,1,3,3,3,3,1,2,2,3,3,3,1,1,1,1,3,1,2,,1.0,,,20,1,4,2,UW,2,
54,2,3,4,4,3,3,5,5,3,5,5,1,5,5,5,4,5,4,5,2,3,3,3,3,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,1,2,UW,2,
55,2,1,5,3,3,1,5,4,4,4,5,5,5,3,5,2,3,3,3,3,2,2,1,1,4,1,1,1,1,1,1,3,2,,1.0,,,19,1,1,2,UW,2,
56,2,2,4,3,3,3,4,4,3,4,5,4,4,5,5,3,3,4,3,2,3,2,3,1,2,1,4,1,1,1,1,1,2,,1.0,,,18,1,3,2,UW,2,
57,1,3,5,5,3,3,5,5,4,4,5,5,5,5,5,3,3,4,4,3,3,2,3,1,3,1,1,1,1,1,1,1,1,CH,1.0,,,19,1,4,3,UW,1,CH
58,1,1,2,4,1,2,5,5,4,5,5,2,2,2,4,1,1,2,3,2,1,1,4,1,2,4,1,1,2,3,3,2,1,CH,1.0,,,21,2,1,3,NIU,2,
59,1,2,4,3,1,2,5,5,4,2,5,3,5,2,4,1,2,2,2,1,3,3,2,2,2,3,1,1,1,2,2,2,1,GK,1.0,,,20,2,2,3,UW,1,"CH, GR"
60,1,3,5,3,3,3,5,4,3,4,5,4,5,5,5,3,4,3,3,3,3,3,3,1,2,1,1,1,1,1,1,3,1,JP,1.0,,,23,1,1,3,NIU,2,
61,1,2,4,5,3,1,5,4,5,5,5,1,5,5,5,3,5,5,5,4,3,5,3,2,2,1,1,1,1,1,1,1,1,SP,1.0,,,23,1,0,3,UW,1,FR
62,1,3,5,5,3,3,5,4,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,1,2,1,1,1,1,1,1,1,1,SP,1.0,,,22,2,5,3,UW,1,JP
63,1,1,1,1,1,1,2,5,3,2,4,4,3,2,3,1,1,1,1,1,1,1,1,3,3,3,1,3,3,3,2,2,1,SP,1.0,,,20,1,2,3,NIU,2,
64,1,3,4,5,4,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,4,3,3,1,3,1,1,1,1,1,1,1,1,SP,1.0,,,20,2,5,3,NIU,2,
65,1,2,4,5,2,4,5,5,5,5,5,5,5,5,5,3,5,4,5,4,3,4,3,1,2,1,1,1,1,1,1,1,1,SP,1.0,,,27,1,3,3,NIU,2,
66,1,5,4,3,4,3,4,4,4,4,5,3,3,5,4,3,4,4,3,4,4,5,4,3,2,3,1,3,1,3,1,1,1,SP,1.0,,,22,2,4,3,NIU,2,
67,1,2,4,5,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,3,4,2,1,2,1,1,1,1,1,1,1,1,SP,1.0,,,19,1,5,3,UW,2,
68,1,4,4,4,4,4,4,3,4,4,3,3,5,5,5,4,5,5,4,3,3,3,4,1,4,3,1,1,1,1,1,1,1,SP,1.0,,,18,1,4,3,UW,2,
69,1,4,4,4,4,4,5,4,5,4,5,5,5,5,5,4,5,5,4,4,4,3,4,1,2,3,1,1,1,1,1,1,1,SP,1.0,,,18,1,4,3,UW,2,
70,1,3,5,4,3,4,5,5,3,4,5,3,5,5,5,4,4,4,4,4,3,3,3,1,2,1,1,1,1,1,1,1,1,SP,1.0,,,18,1,5,3,UW,2,
71,1,3,5,4,5,4,5,5,4,4,5,5,5,5,5,4,5,4,4,3,3,2,3,1,3,3,1,1,1,3,1,3,1,SP,1.0,,,18,1,5,3,UW,2,
72,1,3,5,4,3,2,5,5,5,4,5,3,5,5,5,3,4,4,4,3,3,2,3,1,2,1,1,1,1,3,1,1,1,NA,1.0,,,20,1,3,3,UW,2,
73,1,3,4,5,4,3,5,4,5,5,4,4,5,5,5,5,4,5,5,3,3,4,3,1,3,1,1,1,1,1,1,1,1,NA,1.5,SP,,24,1,2,3,NIU,1,GR
74,1,3,4,5,4,4,5,4,4,4,5,4,3,5,4,4,4,5,4,4,3,2,3,1,4,1,1,3,1,2,1,1,1,SP,1.5,"SP, HB",,19,1,3,3,UW,1,HB
75,1,2,4,5,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,2,5,2,1,4,3,1,1,1,1,1,1,1,SP,1.5,SP,,21,1,5,3,NIU,2,
76,1,3,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,4,2,4,1,2,1,1,1,1,1,1,1,1,CH,2.0,,CH,22,2,1,3,UW,1,EN
77,1,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,1,1,1,1,1,1,1,1,EN,2.0,,RU,26,1,0,3,UW,1,"EN, GR, CH, FR, LT, TK"
78,1,3,2,2,3,3,5,4,2,2,4,3,3,3,1,2,3,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,2,,1.0,,,22,2,3,3,NIU,1,ASL
79,1,2,3,2,3,2,4,5,2,3,5,4,4,4,4,3,3,3,2,2,2,2,2,1,3,1,3,1,1,1,3,1,2,,1.0,,,22,1,1,3,NIU,1,ASL
80,1,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,3,2,1,1,1,1,1,1,1,2,,1.0,,,21,1,1,3,UW,1,CH
81,1,3,5,4,3,1,4,4,3,4,5,5,5,3,5,3,4,4,2,2,4,2,4,1,3,1,1,1,1,1,1,4,2,,1.0,,,23,2,3,3,NIU,2,
82,1,2,4,3,2,2,3,4,3,3,5,4,2,2,3,3,3,2,2,1,2,4,4,3,3,3,1,2,2,1,3,3,2,,1.0,,,23,2,3,3,NIU,2,
83,1,4,5,4,5,4,5,3,2,4,3,5,5,5,5,4,4,4,4,3,3,4,3,1,2,4,1,2,1,1,1,3,2,,1.0,,,21,1,4,3,NIU,2,
84,1,2,1,3,4,3,4,5,5,5,5,3,5,5,5,4,4,4,5,5,2,3,3,3,2,3,1,3,1,1,1,1,2,,1.0,,,21,1,5,3,NIU,2,
85,1,2,3,3,2,3,5,5,5,3,5,4,4,3,3,4,3,4,4,4,3,4,3,3,2,1,1,3,1,1,1,3,2,,1.0,,,23,2,2,3,NIU,2,
86,1,1,3,3,2,4,5,5,4,4,5,4,4,4,5,1,3,3,3,1,1,1,1,1,2,3,1,1,1,1,3,2,2,,1.0,,,19,1,3,3,NIU,2,
87,1,3,4,5,3,3,5,4,5,5,5,4,5,5,5,3,5,4,4,4,3,4,3,1,4,1,1,1,1,1,1,1,2,,1.0,,,22,1,4,3,NIU,2,
88,1,5,4,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,4,3,3,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
89,1,2,4,4,3,3,5,5,5,4,5,5,5,4,5,4,4,4,4,2,3,2,4,1,3,1,1,3,1,1,1,3,2,,1.0,,,18,1,5,3,UW,2,
90,1,2,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
91,1,2,5,3,2,3,4,5,4,4,5,2,5,5,4,3,4,4,4,4,3,3,3,3,2,1,3,1,1,1,1,3,2,,1.0,,,19,1,1,3,UW,2,
92,1,3,4,5,3,2,5,5,5,5,5,4,5,5,5,4,5,4,5,4,3,2,2,1,3,1,1,1,1,1,1,1,2,,1.0,,,18,1,4,3,UW,2,
93,1,4,5,4,4,4,5,5,4,3,5,4,5,5,4,4,5,4,4,4,3,3,4,1,2,1,1,1,1,1,1,1,2,,1.0,,,18,1,5,3,UW,2,
94,1,4,5,4,4,3,5,5,5,5,5,1,5,5,5,4,5,4,3,3,4,3,3,3,2,3,1,1,1,1,1,1,2,,1.0,,,22,1,3,3,UW,2,
95,1,5,3,3,5,2,4,3,4,4,5,2,5,5,5,4,4,4,4,4,2,4,3,1,2,3,1,1,1,2,1,1,2,,1.0,,,18,2,4,3,UW,2,
96,1,4,5,3,4,5,5,4,5,5,5,5,3,4,5,5,5,5,5,4,5,4,5,1,2,1,1,1,1,1,1,1,2,,1.0,,,21,1,5,3,UW,2,
